fname, cmd, raw.kb, zip.kb, dec.kb, elapsed.ms, eps, CR, MAE, RMSE, L.inf, PSNR.dB, tot-segs, deg-1, deg-2, deg-3, deg-4
obs_spitzer_50000, PWLR, 195.312, 175.646, 195.312, 0.015, 1.000, 1.112, 0.267, 0.394, 1.166, 65.250, 25269, 0, 0, 0, 0
obs_spitzer_50000, PWLR, 195.312, 163.454, 195.312, 0.014, 1.100, 1.195, 0.345, 0.478, 1.166, 63.554, 23466, 0, 0, 0, 0
obs_spitzer_50000, PWLR, 195.312, 157.516, 195.312, 0.013, 1.200, 1.240, 0.374, 0.517, 1.201, 62.888, 22605, 0, 0, 0, 0
obs_spitzer_50000, PWLR, 195.312, 147.018, 195.312, 0.012, 1.300, 1.328, 0.452, 0.600, 1.301, 61.581, 21063, 0, 0, 0, 0
obs_spitzer_50000, PWLR, 195.312, 141.118, 195.312, 0.012, 1.400, 1.384, 0.481, 0.637, 1.403, 61.062, 20206, 0, 0, 0, 0
obs_spitzer_50000, PWLR, 195.312, 132.561, 195.312, 0.012, 1.500, 1.473, 0.548, 0.707, 1.502, 60.165, 18963, 0, 0, 0, 0
obs_spitzer_50000, PWLR, 195.312, 125.968, 195.312, 0.011, 1.600, 1.550, 0.587, 0.754, 1.643, 59.597, 18016, 0, 0, 0, 0
obs_spitzer_50000, PWLR, 195.312, 118.896, 195.312, 0.012, 1.700, 1.643, 0.643, 0.816, 1.703, 58.919, 16980, 0, 0, 0, 0
obs_spitzer_50000, PWLR, 195.312, 111.947, 195.312, 0.010, 1.800, 1.745, 0.686, 0.865, 1.800, 58.408, 15972, 0, 0, 0, 0
obs_spitzer_50000, PWLR, 195.312, 106.108, 195.312, 0.010, 1.900, 1.841, 0.728, 0.914, 1.902, 57.928, 15129, 0, 0, 0, 0
obs_spitzer_50000, PWLR, 195.312, 99.797, 195.312, 0.009, 2.000, 1.957, 0.771, 0.964, 2.000, 57.466, 14211, 0, 0, 0, 0
obs_spitzer_50000, PWLR, 195.312, 94.218, 195.312, 0.009, 2.100, 2.073, 0.805, 1.006, 2.102, 57.095, 13408, 0, 0, 0, 0
obs_spitzer_50000, PWLR, 195.312, 88.060, 195.312, 0.009, 2.200, 2.218, 0.855, 1.062, 2.214, 56.626, 12522, 0, 0, 0, 0
obs_spitzer_50000, PWLR, 195.312, 82.738, 195.312, 0.009, 2.300, 2.361, 0.888, 1.104, 2.307, 56.292, 11751, 0, 0, 0, 0
obs_spitzer_50000, PWLR, 195.312, 77.727, 195.312, 0.009, 2.400, 2.513, 0.927, 1.148, 2.411, 55.949, 11031, 0, 0, 0, 0
obs_spitzer_50000, PWLR, 195.312, 73.352, 195.312, 0.008, 2.500, 2.663, 0.955, 1.185, 2.508, 55.676, 10398, 0, 0, 0, 0
obs_spitzer_50000, PWLR, 195.312, 68.647, 195.312, 0.007, 2.600, 2.845, 0.990, 1.227, 2.600, 55.370, 9715, 0, 0, 0, 0
obs_spitzer_50000, PWLR, 195.312, 64.744, 195.312, 0.008, 2.700, 3.017, 1.014, 1.259, 2.700, 55.147, 9151, 0, 0, 0, 0
obs_spitzer_50000, PWLR, 195.312, 60.414, 195.312, 0.007, 2.800, 3.233, 1.044, 1.296, 2.800, 54.898, 8539, 0, 0, 0, 0
obs_spitzer_50000, PWLR, 195.312, 57.144, 195.312, 0.007, 2.900, 3.418, 1.064, 1.325, 2.900, 54.708, 8073, 0, 0, 0, 0
obs_spitzer_50000, PWLR, 195.312, 53.604, 195.312, 0.006, 3.000, 3.644, 1.090, 1.357, 3.001, 54.497, 7564, 0, 0, 0, 0
obs_spitzer_50000, PWLR, 195.312, 50.611, 195.312, 0.006, 3.100, 3.859, 1.108, 1.382, 3.100, 54.339, 7132, 0, 0, 0, 0
obs_spitzer_50000, PWLR, 195.312, 47.225, 195.312, 0.006, 3.200, 4.136, 1.130, 1.411, 3.200, 54.160, 6645, 0, 0, 0, 0
obs_spitzer_50000, PWLR, 195.312, 44.643, 195.312, 0.006, 3.300, 4.375, 1.148, 1.437, 3.300, 54.003, 6276, 0, 0, 0, 0
obs_spitzer_50000, PWLR, 195.312, 41.902, 195.312, 0.005, 3.400, 4.661, 1.167, 1.462, 3.408, 53.851, 5880, 0, 0, 0, 0
obs_spitzer_50000, PWLR, 195.312, 39.369, 195.312, 0.007, 3.500, 4.961, 1.183, 1.484, 3.500, 53.718, 5518, 0, 0, 0, 0
obs_spitzer_50000, PWLR, 195.312, 37.243, 195.312, 0.005, 3.600, 5.244, 1.198, 1.504, 3.601, 53.603, 5214, 0, 0, 0, 0
obs_spitzer_50000, PWLR, 195.312, 35.438, 195.312, 0.005, 3.700, 5.511, 1.211, 1.524, 3.703, 53.492, 4954, 0, 0, 0, 0
obs_spitzer_50000, PWLR, 195.312, 33.843, 195.312, 0.005, 3.800, 5.771, 1.223, 1.541, 3.799, 53.394, 4726, 0, 0, 0, 0
obs_spitzer_50000, PWLR, 195.312, 31.854, 195.312, 0.005, 3.900, 6.131, 1.235, 1.559, 3.915, 53.293, 4452, 0, 0, 0, 0
obs_spitzer_50000, PWLR, 195.312, 30.369, 195.312, 0.005, 4.000, 6.431, 1.243, 1.574, 4.000, 53.211, 4239, 0, 0, 0, 0
obs_spitzer_50000, PWLR, 195.312, 28.915, 195.312, 0.005, 4.100, 6.755, 1.254, 1.589, 4.099, 53.126, 4033, 0, 0, 0, 0
obs_spitzer_50000, PWLR, 195.312, 27.631, 195.312, 0.004, 4.200, 7.069, 1.265, 1.604, 4.202, 53.043, 3850, 0, 0, 0, 0
obs_spitzer_50000, PWLR, 195.312, 26.268, 195.312, 0.005, 4.300, 7.435, 1.275, 1.618, 4.300, 52.969, 3655, 0, 0, 0, 0
obs_spitzer_50000, PWLR, 195.312, 25.198, 195.312, 0.004, 4.400, 7.751, 1.283, 1.632, 4.400, 52.895, 3505, 0, 0, 0, 0
obs_spitzer_50000, PWLR, 195.312, 24.085, 195.312, 0.004, 4.500, 8.109, 1.290, 1.645, 4.500, 52.828, 3346, 0, 0, 0, 0
