fname, cmd, raw.kb, zip.kb, dec.kb, elapsed.ms, eps, CR, MAE, RMSE, L.inf, PSNR.dB, tot-segs, deg-1, deg-2, deg-3, deg-4
obs_temp_50000, PWLR, 195.312, 158.178, 195.312, 0.017, 1.000, 1.235, 0.255, 0.384, 1.003, 43.381, 22785, 0, 0, 0, 0
obs_temp_50000, PWLR, 195.312, 150.690, 195.312, 0.017, 1.100, 1.296, 0.294, 0.432, 1.102, 42.366, 21691, 0, 0, 0, 0
obs_temp_50000, PWLR, 195.312, 143.558, 195.312, 0.014, 1.200, 1.361, 0.331, 0.478, 1.202, 41.493, 20652, 0, 0, 0, 0
obs_temp_50000, PWLR, 195.312, 136.041, 195.312, 0.014, 1.300, 1.436, 0.372, 0.527, 1.301, 40.643, 19570, 0, 0, 0, 0
obs_temp_50000, PWLR, 195.312, 129.460, 195.312, 0.021, 1.400, 1.509, 0.411, 0.575, 1.404, 39.880, 18610, 0, 0, 0, 0
obs_temp_50000, PWLR, 195.312, 123.309, 195.312, 0.017, 1.500, 1.584, 0.452, 0.623, 1.501, 39.190, 17733, 0, 0, 0, 0
obs_temp_50000, PWLR, 195.312, 117.152, 195.312, 0.013, 1.600, 1.667, 0.492, 0.670, 1.604, 38.556, 16836, 0, 0, 0, 0
obs_temp_50000, PWLR, 195.312, 110.926, 195.312, 0.012, 1.700, 1.761, 0.531, 0.716, 1.703, 37.970, 15928, 0, 0, 0, 0
obs_temp_50000, PWLR, 195.312, 104.875, 195.312, 0.014, 1.800, 1.862, 0.573, 0.765, 1.801, 37.402, 15045, 0, 0, 0, 0
obs_temp_50000, PWLR, 195.312, 98.679, 195.312, 0.012, 1.900, 1.979, 0.615, 0.814, 1.900, 36.859, 14139, 0, 0, 0, 0
obs_temp_50000, PWLR, 195.312, 92.999, 195.312, 0.011, 2.000, 2.100, 0.655, 0.862, 2.000, 36.366, 13312, 0, 0, 0, 0
obs_temp_50000, PWLR, 195.312, 87.630, 195.312, 0.011, 2.100, 2.229, 0.693, 0.907, 2.102, 35.920, 12535, 0, 0, 0, 0
obs_temp_50000, PWLR, 195.312, 82.187, 195.312, 0.010, 2.200, 2.376, 0.731, 0.952, 2.202, 35.502, 11748, 0, 0, 0, 0
obs_temp_50000, PWLR, 195.312, 77.473, 195.312, 0.010, 2.300, 2.521, 0.765, 0.994, 2.301, 35.127, 11061, 0, 0, 0, 0
obs_temp_50000, PWLR, 195.312, 72.572, 195.312, 0.010, 2.400, 2.691, 0.802, 1.038, 2.402, 34.753, 10345, 0, 0, 0, 0
obs_temp_50000, PWLR, 195.312, 67.524, 195.312, 0.010, 2.500, 2.892, 0.840, 1.083, 2.502, 34.383, 9606, 0, 0, 0, 0
obs_temp_50000, PWLR, 195.312, 63.467, 195.312, 0.009, 2.600, 3.077, 0.872, 1.122, 2.602, 34.073, 9027, 0, 0, 0, 0
obs_temp_50000, PWLR, 195.312, 59.491, 195.312, 0.008, 2.700, 3.283, 0.898, 1.155, 2.706, 33.824, 8454, 0, 0, 0, 0
obs_temp_50000, PWLR, 195.312, 55.695, 195.312, 0.008, 2.800, 3.507, 0.930, 1.193, 2.800, 33.542, 7906, 0, 0, 0, 0
obs_temp_50000, PWLR, 195.312, 52.347, 195.312, 0.008, 2.900, 3.731, 0.956, 1.225, 2.901, 33.309, 7423, 0, 0, 0, 0
obs_temp_50000, PWLR, 195.312, 49.355, 195.312, 0.007, 3.000, 3.957, 0.979, 1.256, 3.000, 33.092, 6993, 0, 0, 0, 0
