fname, cmd, raw.kb, zip.kb, dec.kb, elapsed.ms, eps, CR, MAE, RMSE, L.inf, PSNR.dB, tot-segs, deg-1, deg-2, deg-3, deg-4
ps_data, PWLR, 195.312, 115.205, 195.312, 0.013, 0.010, 1.695, 0.004, 0.005, 0.010, 55.638, 16647, 0, 0, 0, 0
ps_data, PWLR, 195.312, 103.394, 195.312, 0.011, 0.011, 1.889, 0.004, 0.005, 0.011, 54.675, 14908, 0, 0, 0, 0
ps_data, PWLR, 195.312, 91.896, 195.312, 0.009, 0.012, 2.125, 0.005, 0.006, 0.012, 53.849, 13237, 0, 0, 0, 0
ps_data, PWLR, 195.312, 81.920, 195.312, 0.009, 0.013, 2.384, 0.005, 0.006, 0.013, 53.140, 11776, 0, 0, 0, 0
ps_data, PWLR, 195.312, 72.323, 195.312, 0.009, 0.014, 2.701, 0.006, 0.007, 0.014, 52.545, 10378, 0, 0, 0, 0
ps_data, PWLR, 195.312, 63.955, 195.312, 0.008, 0.015, 3.054, 0.006, 0.007, 0.015, 52.027, 9162, 0, 0, 0, 0
ps_data, PWLR, 195.312, 55.631, 195.312, 0.007, 0.016, 3.511, 0.006, 0.008, 0.016, 51.575, 7960, 0, 0, 0, 0
ps_data, PWLR, 195.312, 48.145, 195.312, 0.007, 0.017, 4.057, 0.007, 0.008, 0.017, 51.180, 6880, 0, 0, 0, 0
ps_data, PWLR, 195.312, 41.740, 195.312, 0.006, 0.018, 4.679, 0.007, 0.008, 0.018, 50.833, 5955, 0, 0, 0, 0
ps_data, PWLR, 195.312, 35.886, 195.312, 0.006, 0.019, 5.443, 0.007, 0.009, 0.019, 50.549, 5101, 0, 0, 0, 0
ps_data, PWLR, 195.312, 31.434, 195.312, 0.005, 0.020, 6.213, 0.007, 0.009, 0.020, 50.307, 4465, 0, 0, 0, 0
ps_data, PWLR, 195.312, 26.977, 195.312, 0.005, 0.021, 7.240, 0.008, 0.009, 0.021, 50.078, 3820, 0, 0, 0, 0
ps_data, PWLR, 195.312, 23.212, 195.312, 0.004, 0.022, 8.414, 0.008, 0.009, 0.022, 49.871, 3280, 0, 0, 0, 0
ps_data, PWLR, 195.312, 20.336, 195.312, 0.004, 0.023, 9.604, 0.008, 0.010, 0.023, 49.659, 2860, 0, 0, 0, 0
ps_data, PWLR, 195.312, 17.802, 195.312, 0.009, 0.024, 10.972, 0.008, 0.010, 0.024, 49.476, 2496, 0, 0, 0, 0
ps_data, PWLR, 195.312, 15.983, 195.312, 0.004, 0.025, 12.220, 0.008, 0.010, 0.025, 49.310, 2230, 0, 0, 0, 0
ps_data, PWLR, 195.312, 14.167, 195.312, 0.004, 0.026, 13.786, 0.008, 0.010, 0.026, 49.132, 1969, 0, 0, 0, 0
ps_data, PWLR, 195.312, 12.716, 195.312, 0.004, 0.027, 15.360, 0.008, 0.011, 0.027, 48.950, 1758, 0, 0, 0, 0
ps_data, PWLR, 195.312, 11.736, 195.312, 0.009, 0.028, 16.642, 0.009, 0.011, 0.028, 48.751, 1617, 0, 0, 0, 0
ps_data, PWLR, 195.312, 10.788, 195.312, 0.003, 0.029, 18.104, 0.009, 0.011, 0.029, 48.590, 1480, 0, 0, 0, 0
ps_data, PWLR, 195.312, 9.946, 195.312, 0.005, 0.030, 19.637, 0.009, 0.011, 0.030, 48.394, 1357, 0, 0, 0, 0
ps_data, PWPR(0), 195.312, 140.424, 195.312, 7.989, 0.010, 1.391, 0.003, 0.005, 0.010, 56.300, 5949, 29, 76, 173, 5671
ps_data, PWPR(0), 195.312, 127.862, 195.312, 8.078, 0.011, 1.528, 0.004, 0.005, 0.011, 55.237, 5423, 50, 93, 224, 5056
ps_data, PWPR(0), 195.312, 114.819, 195.312, 8.004, 0.012, 1.701, 0.004, 0.006, 0.012, 54.348, 4871, 62, 85, 245, 4479
ps_data, PWPR(0), 195.312, 102.674, 195.312, 7.396, 0.013, 1.902, 0.005, 0.006, 0.013, 53.555, 4367, 69, 120, 282, 3896
ps_data, PWPR(0), 195.312, 90.648, 195.312, 5.251, 0.014, 2.155, 0.005, 0.007, 0.014, 52.869, 3860, 75, 134, 259, 3392
ps_data, PWPR(0), 195.312, 79.334, 195.312, 4.746, 0.015, 2.462, 0.006, 0.007, 0.015, 52.296, 3381, 74, 118, 286, 2903
ps_data, PWPR(0), 195.312, 68.862, 195.312, 4.733, 0.016, 2.836, 0.006, 0.008, 0.016, 51.775, 2944, 91, 133, 281, 2439
ps_data, PWPR(0), 195.312, 59.084, 195.312, 3.519, 0.017, 3.306, 0.006, 0.008, 0.017, 51.362, 2519, 71, 108, 225, 2115
ps_data, PWPR(0), 195.312, 49.932, 195.312, 3.139, 0.018, 3.912, 0.007, 0.008, 0.018, 50.965, 2137, 72, 125, 237, 1703
ps_data, PWPR(0), 195.312, 42.381, 195.312, 2.923, 0.019, 4.609, 0.007, 0.009, 0.019, 50.662, 1814, 61, 122, 220, 1411
ps_data, PWPR(0), 195.312, 34.745, 195.312, 1.994, 0.020, 5.621, 0.007, 0.009, 0.020, 50.359, 1489, 82, 90, 135, 1182
ps_data, PWPR(0), 195.312, 28.626, 195.312, 2.033, 0.021, 6.823, 0.007, 0.009, 0.021, 50.169, 1226, 66, 94, 134, 932
ps_data, PWPR(0), 195.312, 23.797, 195.312, 2.030, 0.022, 8.207, 0.008, 0.009, 0.022, 50.012, 1011, 43, 67, 127, 774
ps_data, PWPR(0), 195.312, 19.150, 195.312, 1.360, 0.023, 10.199, 0.008, 0.009, 0.023, 49.837, 814, 36, 61, 117, 600
ps_data, PWPR(0), 195.312, 15.895, 195.312, 1.007, 0.024, 12.288, 0.008, 0.010, 0.024, 49.735, 668, 29, 46, 96, 497
